member_id|set_en|set_ur|sort_order|gloss_ur|nuance_en|nuance_ur|topic_id|book_ref
NSM:PERIOD:PERIOD_OF_TIME:XC67F042D|Period of time|زمانہ|2|زمانہ|Period of time||Z4|Kailani — topic Z4
NSM:PERIOD:PERIOD_OF_TIME:X56750292|Period of time|زمانہ|3|زمانہ|Period of time||Z4|Kailani — topic Z4
NSM:PERIOD:PERIOD_OF_TIME:X36A9D753|Period of time|زمانہ|4|زمانہ|Period of time||Z4|Kailani — topic Z4
NSM:PERIOD:PERIOD_OF_TIME:X9C766B1E|Period of time|زمانہ|5|زمانہ|Period of time||Z4|Kailani — topic Z4
NSM:PIECE:PIECE:XC8CE6D5E|Piece|ٹکڑا|11|ٹکڑا|Piece||TT1|Kailani — topic TT1
NSM:PLACE:PLACE:XC989CD6D|Place|جگہ|4|جگہ|Place||J8|Kailani — topic J8
NSM:PLANK:PLANK_OF_WOOD_A_BOARD:X68B7AFAA|Plank of wood, a board|تختہ|3|تختہ|Plank of wood, a board||T7|Kailani — topic T7
NSM:PLOT:PLOT_TO_PLOT:X4D5677CF|Plot, to plot|تدبیر –تدبیر کرنا|6|تدبیر –تدبیر کرنا|Plot, to plot||T8|Kailani — topic T8
NSM:POOR:POOR_DESTITUTE:X0C3D60B1|Poor, destitute|تنگدستی|8|تنگدستی|Poor, destitute||T21|Kailani — topic T21
NSM:PRIVATE:PRIVATE_PART:XDD691F08|Private part|شرمگاہ|1|شرمگاہ|Private part||SH7|Kailani — topic SH7
NSM:PROLONG:PROLONG_LENGTHEN:X676448A4|Prolong, lengthen|دراز ہونا - کرنا|4|دراز ہونا - کرنا|Prolong, lengthen||D5|Kailani — topic D5
NSM:PROLONG:PROLONG_LENGTHEN:X84CCA38D|Prolong, lengthen|دراز ہونا - کرنا|5|دراز ہونا - کرنا|Prolong, lengthen||D5|Kailani — topic D5
NSM:PROPHET:PROPHET:XB645CF15|Prophet|پیغمبر|4|پیغمبر|Prophet||P57|Kailani — topic P57
NSM:PROTECTION:PROTECTION_SHELTER_REFUGE:X9C5A6139|Protection, shelter, refuge|پناہ – پناہ گاہ|8|پناہ – پناہ گاہ|Protection, shelter, refuge||P20|Kailani — topic P20
NSM:PROTECTION:PROTECTION_SHELTER_REFUGE:X88FBB3AA|Protection, shelter, refuge|پناہ – پناہ گاہ|9|پناہ – پناہ گاہ|Protection, shelter, refuge||P20|Kailani — topic P20
NSM:PROVEN:PROVEN:X56750292|proven|ثابت ہونا|1|ثابت ہونا|proven||TH1|Kailani — topic TH1
NSM:PROVEN:PROVEN:X021211BE|proven|ثابت ہونا|2|ثابت ہونا|proven||TH1|Kailani — topic TH1
NSM:PURE:PURE:X0584BCFA|Pure|پاک [ستھرا]|6|پاک [ستھرا]|Pure||P2|Kailani — topic P2
NSM:PUSS:PUSS:XED30B750|Puss|پیپ|4|پیپ|Puss||P44|Kailani — topic P44
NSM:RECKLESS:RECKLESS_AND_ARROGANT:XA55DA129|Reckless and arrogant|سرکشی کرنا|1|سرکشی کرنا|Reckless and arrogant||S15|Kailani — topic S15
NSM:RECKLESS:RECKLESS_AND_ARROGANT:X988ADA1C|Reckless and arrogant|سرکشی کرنا|2|سرکشی کرنا|Reckless and arrogant||S15|Kailani — topic S15
NSM:RECKLESS:RECKLESS_AND_ARROGANT:X06BAA722|Reckless and arrogant|سرکشی کرنا|3|سرکشی کرنا|Reckless and arrogant||S15|Kailani — topic S15
NSM:RECOMPENSE:RECOMPENSE:XCB22E4A9|Recompense|بدلہ|2|بدلہ|Recompense||B29|Kailani — topic B29
NSM:RELATIVE:RELATIVE:XBE0FA08B|Relative|رشتہ  دار|1|رشتہ دار|Relative||R10|Kailani — topic R10
NSM:RELATIVE:RELATIVE:XCB92A8B0|Relative|رشتہ  دار|2|رشتہ دار|Relative||R10|Kailani — topic R10
NSM:RELATIVE:RELATIVE:X1F694036|Relative|رشتہ  دار|3|رشتہ دار|Relative||R10|Kailani — topic R10
NSM:RELATIVE:RELATIVE:XF6D84F36|Relative|رشتہ  دار|4|رشتہ  دار|Relative||R10|Kailani — topic R10
NSM:RESPONSIBILITY:RESPONSIBILITY:XE0B9E8E3|responsibility|ذمہ داری|3|ذمہ داری|responsibility||DH6|Kailani — topic DH6
NSM:RIGHT:RIGHT_OF_DOWRY:X37510B7A|Right of dowry|حق مہر|1|حق مہر|Right of dowry||HA11|Kailani — topic HA11
NSM:RIPENING:RIPENING_OF_THE_FRUIT:X375B4FFD|Ripening of the fruit|پھل پکنا|3|پھل پکنا|Ripening of the fruit||P38|Kailani — topic P38
NSM:ROOF:ROOF:X861183A4|roof|چھت|2|چھت|roof||CH25|Kailani — topic CH25
NSM:ROOF:ROOF:X44C483CF|roof|چھت|3|چھت|roof||CH25|Kailani — topic CH25
NSM:ROOT:ROOT:XBE0FA08B|root|جڑھ|1|جڑھ|root||J5|Kailani — topic J5
NSM:ROOT:ROOT:XB15AA8E2|root|جڑھ|2|جڑھ|root||J5|Kailani — topic J5
NSM:ROOT:ROOT:X62C3FB52|root|جڑھ|3|جڑھ|root||J5|Kailani — topic J5
NSM:ROPE:ROPE:X56750292|Rope|رسسی|1|رسسی|Rope||R9|Kailani — topic R9
NSM:ROPE:ROPE:X861183A4|Rope|رسسی|2|رسسی|Rope||R9|Kailani — topic R9
NSM:SAND:SAND:X861183A4|Sand|ریت|1|ریت|Sand||R21|Kailani — topic R21
NSM:SAND:SAND:XFFA8517F|Sand|ریت|2|ریت|Sand||R21|Kailani — topic R21
NSM:SAND:SAND:XBE0FA08B|Sand|ریت|3|ریت|Sand||R21|Kailani — topic R21
NSM:SCOWL:SCOWL_FROWN:X4CC5EE4E|Scowl, frown|تیوری چڑھانا|4|تیوری چڑھانا|Scowl, frown||T34|Kailani — topic T34
NSM:SERVANT:SERVANT:XD6F7C01D|servant|خدمت گار|1|خدمت گار|servant||KH4|Kailani — topic KH4
NSM:SERVANT:SERVANT:X6E6A73AD|servant|خدمت گار|2|خدمت گار|servant||KH4|Kailani — topic KH4
NSM:SERVANT:SERVANT:X861183A4|servant|خدمت گار|3|خدمت گار|servant||KH4|Kailani — topic KH4
NSM:SERVANT:SERVANT:X22291799|servant|خدمت گار|4|خدمت گار|servant||KH4|Kailani — topic KH4
NSM:SETTING:SETTING_IE_SUN:X2DE4CEDF|Setting (ie sun)|ڈھلنا|3|ڈھلنا|Setting (ie sun)||DD8|Kailani — topic DD8
NSM:SHEET:SHEET:X84D816DC|Sheet|چادر|1|چادر|Sheet||CH2|Kailani — topic CH2
NSM:SHEET:SHEET:X51C9A584|Sheet|چادر|2|چادر|Sheet||CH2|Kailani — topic CH2
NSM:SHEET:SHEET:X32D751B8|Sheet|چادر|3|چادر|Sheet||CH2|Kailani — topic CH2
NSM:SHIELD:SHIELD:XDBA5BD87|Shield|ڈھال|3|ڈھال|Shield||DD6|Kailani — topic DD6
NSM:SHINE:SHINE_FLASH_TO_SHINE_FLASH:X7E78667D|Shine/flash, to shine/flash|چمک چمکنا|6|چمک چمکنا|Shine/flash, to shine/flash||CH16|Kailani — topic CH16
NSM:SIDE:SIDE_IN_SLEEPING:X9ECB4896|Side, (in sleeping)|پہلو [کروٹ]|4|پہلو [کروٹ]|Side, (in sleeping)||P29|Kailani — topic P29
NSM:SIDE:SIDE_IN_SLEEPING:XBDF3765D|Side, (in sleeping)|پہلو [کروٹ]|5|پہلو [کروٹ]|Side, (in sleeping)||P29|Kailani — topic P29
NSM:SIDE:SIDE_TOWARDS_OVER_THERE:X51C9A584|Side, towards, over there|جانب سمت|1|جانب سمت|Side, towards, over there||J3|Kailani — topic J3
NSM:SIDE:SIDE_TOWARDS_OVER_THERE:XA55DA129|Side, towards, over there|جانب سمت|2|جانب سمت|Side, towards, over there||J3|Kailani — topic J3
NSM:SIDE:SIDE_TOWARDS_OVER_THERE:X6245B4D0|Side, towards, over there|جانب سمت|3|جانب سمت|Side, towards, over there||J3|Kailani — topic J3
NSM:SIN:SIN:XF7A18981|Sin|گناہ|9|گناہ|Sin||GG14|Kailani — topic GG14
NSM:SINFUL:SINFUL:XAFB39B71|Sinful|گنہگار|6|گنہگار|Sinful||GG15|Kailani — topic GG15
NSM:SINK:SINK_COLLAPSE_INTO_THE_EARTH:XB15AA8E2|Sink/collapse into the Earth|زمین بوس ہونا – کرنا|1|زمین بوس ہونا – کرنا|Sink/collapse into the Earth||Z6|Kailani — topic Z6
NSM:SINK:SINK_COLLAPSE_INTO_THE_EARTH:X7A55C24D|Sink/collapse into the Earth|زمین بوس ہونا – کرنا|2|زمین بوس ہونا – کرنا|Sink/collapse into the Earth||Z6|Kailani — topic Z6
NSM:SINK:SINK_COLLAPSE_INTO_THE_EARTH:X84CCA38D|Sink/collapse into the Earth|زمین بوس ہونا – کرنا|3|زمین بوس ہونا – کرنا|Sink/collapse into the Earth||Z6|Kailani — topic Z6
NSM:SMOKE:SMOKE:X8B227A8D|Smoke|دھواں|4|دھواں|Smoke||D27|Kailani — topic D27
NSM:SNAKE:SNAKE:X56750292|snake|سانپ|1|سانپ|snake||S6|Kailani — topic S6
NSM:SNAKE:SNAKE:X51C9A584|snake|سانپ|2|سانپ|snake||S6|Kailani — topic S6
NSM:SNAKE:SNAKE:XE57C96BA|snake|سانپ|3|سانپ|snake||S6|Kailani — topic S6
NSM:SNAKE:SNAKE:X3CEB642A|snake|سانپ|4|سانپ|snake||S6|Kailani — topic S6
NSM:SO:SO_THAT_SO_NOT:X57F75189|So that, so not|تاکہ – تاکہ نہ|6|تاکہ – تاکہ نہ|So that, so not||T4|Kailani — topic T4
NSM:SO:SO_THAT_SO_NOT:XEFD045CB|So that, so not|تاکہ – تاکہ نہ|7|تاکہ – تاکہ نہ|So that, so not||T4|Kailani — topic T4
NSM:SOME:SOME_FEW:XCAFB2A7D|Some, few|چند|1|چند|Some, few||CH17|Kailani — topic CH17
NSM:SOME:SOME_FEW:XE1A0F2FA|Some, few|چند|9|چند|Some, few||CH17|Kailani — topic CH17
NSM:SPLENDOR:SPLENDOR_ILLUMINED_RESPLENDENT:XA83185C0|Splendor, illumined, resplendent|رونق|1|رونق|Splendor, illumined, resplendent||R20|Kailani — topic R20
NSM:SPLENDOR:SPLENDOR_ILLUMINED_RESPLENDENT:XCB92A8B0|Splendor, illumined, resplendent|رونق|2|رونق|Splendor, illumined, resplendent||R20|Kailani — topic R20
NSM:SPLENDOR:SPLENDOR_ILLUMINED_RESPLENDENT:XCB22E4A9|Splendor, illumined, resplendent|رونق|3|رونق|Splendor, illumined, resplendent||R20|Kailani — topic R20
NSM:SPLIT:SPLIT:X1A44C2B4|split|شگاف|1|شگاف|split||SH13|Kailani — topic SH13
NSM:SPOILED:SPOILED_RUINED:X6E6A73AD|Spoiled, ruined|خرابی|1|خرابی|Spoiled, ruined||KH5|Kailani — topic KH5
NSM:SPREAD:SPREAD_OF_DARKNESS:X7FD75F73|Spread of darkness|تاریکی چھانا|7|تاریکی چھانا|Spread of darkness||T2|Kailani — topic T2
NSM:STONE:STONE:XD3B14D81|Stone|پتھر|5|پتھر|Stone||P9|Kailani — topic P9
NSM:SUNSHINE:SUNSHINE:X4483C48F|Sunshine|دھوپ|5|دھوپ|Sunshine||D28|Kailani — topic D28
NSM:SUPERINTENDENT:SUPERINTENDENT:X87033191|Superintendent|داروغہ|3|داروغہ|Superintendent||D2|Kailani — topic D2
NSM:SURPLUS:SURPLUS:XA0F49047|surplus|زائد|1|زائد|surplus||Z1|Kailani — topic Z1
NSM:SURPLUS:SURPLUS:XCB92A8B0|surplus|زائد|2|زائد|surplus||Z1|Kailani — topic Z1
NSM:TENT:TENT_PAVILION:X72DE3C96|Tent, pavilion|خیمہ - سائبان|1|خیمہ - سائبان|Tent, pavilion||KH21|Kailani — topic KH21
NSM:THE:THE_BURSTING_AND_FLOWING_OF_A_STREAM:X55B58F9D|The bursting and flowing of a stream|اور بہنا چشمہ کا پھوٹنا|1|اور بہنا چشمہ کا پھوٹنا|The bursting and flowing of a stream||CH11|Kailani — topic CH11
NSM:THE:THE_BURSTING_AND_FLOWING_OF_A_STREAM:X7D16284D|The bursting and flowing of a stream|اور بہنا چشمہ کا پھوٹنا|6|اور بہنا چشمہ کا پھوٹنا|The bursting and flowing of a stream||CH11|Kailani — topic CH11
NSM:THE:THE_BURSTING_AND_FLOWING_OF_A_STREAM:X68C1E8A8|The bursting and flowing of a stream|اور بہنا چشمہ کا پھوٹنا|7|اور بہنا چشمہ کا پھوٹنا|The bursting and flowing of a stream||CH11|Kailani — topic CH11
NSM:THE:THE_OPPONENT_RIVAL_OF_PROPHETS:X191F6F54|The opponent, rival of prophets|پیغمبروں کے حریف|5|پیغمبروں کے حریف|The opponent, rival of prophets||P58|Kailani — topic P58
